time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
1.312594,-0.398451509198,-0.461344721429,0.00268446637573,0.217058281238,-0.108145645422,1.55660700273,0.337475772949,96.1538467407,0.492407832349,-0.681854459436,-0.360101989545,0.785014667303,0.540728227112,1.26361667258,2.70095666918,96.0674133301
1.312889,-0.398451509198,-0.461344721429,0.00268446637573,0.217058281238,-0.108145645422,1.55660700273,0.337475772949,96.1538467407,0.492407832349,-0.681854459436,-0.360101989545,0.785014667303,0.540728227112,1.26361667258,2.70095666918,96.0674133301
1.323111,-0.398451509198,-0.461344721429,0.00268446637573,0.217058281238,-0.108145645422,1.55660700273,0.337475772949,96.1538467407,0.492407832349,-0.681854459436,-0.360101989545,0.785014667303,0.540728227112,1.26361667258,2.70095666918,96.0674133301
1.333305,-0.398451509198,-0.461344721429,0.00306796157227,0.217058281238,-0.107762150226,1.55622350753,0.337859268146,96.1538467407,0.492024337152,-0.681854459436,-0.359718494348,0.784631172107,0.540728227112,1.26284968218,2.70057317399,96.0674133301
1.343229,-0.398835004395,-0.461728216626,0.00268446637573,0.217825271631,-0.108145645422,1.55584001234,0.337092277753,96.1538467407,0.492791327545,-0.681854459436,-0.359718494348,0.784631172107,0.540728227112,1.26284968218,2.70095666918,96.0674133301
1.353133,-0.398835004395,-0.461728216626,0.00268446637573,0.217825271631,-0.108145645422,1.55584001234,0.337092277753,96.1538467407,0.492791327545,-0.681854459436,-0.359718494348,0.784631172107,0.540728227112,1.26284968218,2.70095666918,96.0674133301
1.363019,-0.398835004395,-0.461728216626,0.00268446637573,0.217825271631,-0.108145645422,1.55584001234,0.337092277753,96.1538467407,0.492791327545,-0.681854459436,-0.359718494348,0.784631172107,0.540728227112,1.26284968218,2.70095666918,96.0674133301
1.373224,-0.398835004395,-0.461728216626,0.00268446637573,0.217825271631,-0.108145645422,1.55584001234,0.337092277753,96.1538467407,0.492791327545,-0.681854459436,-0.359718494348,0.784631172107,0.540728227112,1.26284968218,2.70095666918,96.0674133301
1.383118,-0.398451509198,-0.461344721429,0.00191747598267,0.21897575722,-0.107378655029,1.55775748832,0.337859268146,96.1538467407,0.492407832349,-0.682237954633,-0.360101989545,0.784631172107,0.540344731915,1.26284968218,2.70134016438,96.0674133301
1.393070,-0.398068014001,-0.461344721429,0.0034514567688,0.218592262024,-0.108529140619,1.55699049792,0.337475772949,96.1538467407,0.492791327545,-0.681854459436,-0.359334999152,0.78424767691,0.540728227112,1.26246618699,2.70057317399,96.0674133301
1.402985,-0.397684518805,-0.460961226233,0.00268446637573,0.218208766827,-0.108529140619,1.55660700273,0.337475772949,96.1538467407,0.492791327545,-0.681854459436,-0.360101989545,0.783864181714,0.541111722308,1.26284968218,2.69980618359,96.0674133301
1.413221,-0.397684518805,-0.460961226233,0.0046019423584,0.21897575722,-0.108529140619,1.55622350753,0.337859268146,96.1538467407,0.492791327545,-0.68147096424,-0.359718494348,0.784631172107,0.539577741522,1.26246618699,2.70057317399,96.0674133301
1.423379,-0.397684518805,-0.460961226233,0.0046019423584,0.21897575722,-0.108529140619,1.55622350753,0.337859268146,96.1538467407,0.492791327545,-0.68147096424,-0.359718494348,0.784631172107,0.539577741522,1.26246618699,2.70057317399,96.0674133301
1.433046,-0.398451509198,-0.460961226233,0.00268446637573,0.21897575722,-0.107378655029,1.55699049792,0.338242763342,96.1538467407,0.492024337152,-0.681854459436,-0.359334999152,0.785014667303,0.539961236719,1.26323317738,2.70134016438,96.0674133301
1.442998,-0.398068014001,-0.461344721429,0.00306796157227,0.21897575722,-0.107762150226,1.55622350753,0.337092277753,96.1538467407,0.492024337152,-0.68147096424,-0.360868979938,0.784631172107,0.541111722308,1.26284968218,2.70057317399,96.0674133301
1.454686,-0.398835004395,-0.461344721429,0.0023009711792,0.220893233203,-0.108529140619,1.55660700273,0.337859268146,96.1538467407,0.491640841956,-0.68147096424,-0.360101989545,0.785014667303,0.540344731915,1.26284968218,2.70134016438,96.0674133301
1.463014,-0.398835004395,-0.461344721429,0.0023009711792,0.220893233203,-0.108529140619,1.55660700273,0.337859268146,96.1538467407,0.491640841956,-0.68147096424,-0.360101989545,0.785014667303,0.540344731915,1.26284968218,2.70134016438,96.0674133301
1.473781,-0.398835004395,-0.462111711823,0.00306796157227,0.220893233203,-0.108529140619,1.55622350753,0.337475772949,96.1538467407,0.491640841956,-0.68147096424,-0.360101989545,0.785014667303,0.541111722308,1.26323317738,2.70057317399,96.0674133301
1.483003,-0.398835004395,-0.461344721429,0.00306796157227,0.220893233203,-0.108529140619,1.55545651714,0.336708782556,96.1538467407,0.492791327545,-0.681854459436,-0.359718494348,0.784631172107,0.540728227112,1.26284968218,2.70018967879,96.0674133301
1.493236,-0.398068014001,-0.461344721429,0.0034514567688,0.219742747614,-0.107762150226,1.55622350753,0.338242763342,96.1538467407,0.492791327545,-0.681854459436,-0.359334999152,0.7853981625,0.541111722308,1.26323317738,2.70095666918,96.0674133301
